Fp1;Fp2;O1;O2;POLY3;POLY4;A1;A2;Video;Audio;event;
-486.3114;0;-437.3392;-93.11669;3.396957;0.4331077;-477.2689;-475.0397;0.08419768;0.543127;0;12:45:28 Рука;
-660.0477;0;-609.0632;-234.2646;1.785953;1.035519;-650.0147;-645.7888;0.1490804;0.4126466;0;
-301.7517;0;-285.7384;-61.61591;0.04284616;5.388247;-294.6024;-291.1928;0.08396327;0.02242787;0;
-207.6207;0;-194.2471;63.1958;-1.832231;7.124389;-198.3546;-198.884;0.2138136;0.15234;0;
-67.79478;0;-63.18025;35.52118;-1.428248;4.504896;-60.97426;-62.56509;0.1486314;0.7368931;0;
528.9109;0;489.9802;54.78828;-2.163748;3.629591;526.3543;524.3278;-0.04641996;0.4762832;0;
678.2416;0;639.7249;56.41988;-1.826781;5.434484;674.813;670.2274;-0.176308;-0.04393408;0;
272.7012;0;272.204;53.42717;-1.958667;5.562989;273.274;270.442;-0.04619616;-0.1738246;0;
169.7912;0;171.5434;53.62336;2.999794;-2.01155;167.6149;170.1581;0.2137196;-0.4984867;0;
56.61494;0;64.48729;54.06923;6.747824;-3.550014;56.25234;60.16727;0.01860285;-0.5629531;0;
-487.9183;0;-438.887;-95.03518;-4.109947;-7.163526;-479.6598;-475.374;-0.5011546;-0.1076161;0;
-661.528;0;-611.2966;-239.6794;-5.981828;-9.567592;-652.903;-647.0598;-0.1758143;0.08739409;0;
-297.1711;0;-283.9091;-63.27715;3.201211;-3.596619;-292.4903;-288.8394;0.08423172;0.217241;0;
-193.487;0;-182.7371;69.3448;1.656777;-3.927919;-187.1867;-187.5374;0.01917974;0.3469574;0;
-65.29438;0;-62.61377;40.47709;13.31039;3.242957;-61.9365;-62.97401;0.3439972;-0.04319533;0;
520.4768;0;477.5526;54.61679;17.78401;5.78505;514.5235;512.9873;0.08378217;-0.3679886;0;
672.752;0;631.7451;56.3735;-0.3848878;3.501817;668.304;663.8957;-0.3061061;-0.2376842;0;
257.9092;0;258.2352;53.2559;-2.126789;6.177616;258.7755;255.8709;-0.1758638;-0.1075107;0;
155.7013;0;157.901;53.82707;-9.089901;-4.947514;153.4433;156.0388;-0.1107198;0.1524667;0;
52.22182;0;60.54124;52.52362;-14.37303;-7.219963;52.40228;56.05724;-0.5004126;0.2822482;0;
-493.6813;0;-446.015;-99.76514;-4.04346;-5.136237;-484.8803;-481.354;-0.6948118;0.2169973;0;
-660.7885;0;-615.7938;-240.5941;-3.838326;-8.413117;-652.746;-647.0992;-0.1094075;0.1518119;0;
-302.2419;0;-289.3388;-62.44173;-1.758364;4.991556;-297.6433;-293.7513;-0.174265;-0.10821;0;
-202.4257;0;-187.6615;67.80557;0.722625;7.933668;-194.5209;-194.8807;-0.1740898;-0.1081013;0;
-54.23423;0;-50.97909;40.12632;-0.2834552;1.897476;-48.64867;-50.19504;0.3458238;0.2818114;0;
526.4659;0;485.0527;54.76612;1.190698;3.235106;522.8005;521.1307;-0.04432772;-0.1082759;0;
671.4263;0;632.7408;56.2728;0.921082;-1.255879;667.8895;663.8476;0.02068416;-0.04319972;0;
278.1365;0;277.2209;53.77999;0.5189909;-1.589532;277.8516;275.0007;0.6053694;0.2167131;0;
174.7213;0;174.369;53.10126;3.197787;-4.200147;170.3138;172.963;0.08502244;-0.1733087;0;
56.48013;0;63.43693;54.98443;3.394668;-5.937483;54.20098;58.65909;-0.04499767;0.02176742;0;
-491.1139;0;-444.1217;-95.3078;0.4444964;0.9676033;-483.4583;-479.0671;0.6047209;0.2166476;0;
-665.3451;0;-622.1483;-241.1387;0.5777716;1.770426;-656.3853;-650.1245;0.2792766;0.02152785;0;
-298.9854;0;-290.7519;-62.611;-4.580373;3.778013;-294.9071;-289.5896;-0.2407427;-0.2383631;0;
-192.8631;0;-184.9503;67.1992;-5.647497;4.310081;-187.6021;-186.9751;0.1493032;-0.303091;0;
-61.6727;0;-63.88768;36.77193;-5.03861;8.592535;-58.60334;-60.47571;0.08418585;0.2169523;0;
526.2188;0;480.9027;54.601;-7.445421;11.26322;519.6649;517.4821;-0.2407354;0.2817017;0;
680.6746;0;635.4041;56.73254;7.030374;-0.6038334;673.3152;668.9482;-0.04559153;0.08651659;0;
269.3221;0;261.5157;53.11483;11.04277;-2.679576;265.7182;262.6674;-0.3703824;0.4112664;0;
168.9143;0;163.4896;54.18589;2.591584;-3.547661;161.9408;164.0155;-0.3050429;0.5407878;0;
60.11172;0;61.56399;51.88257;3.660707;-6.156431;55.58144;58.15378;0.150035;0.1504404;0;
-494.4825;0;-452.6144;-103.2791;-3.309196;-1.19363;-488.451;-485.9437;0.2148516;0.1502892;0;
-663.2755;0;-626.6345;-243.6047;-6.855844;-0.9244989;-655.5634;-650.9972;0.1496683;0.4749749;0;
