Fp1;Fp2;O1;O2;POLY3;POLY4;A1;A2;Video;Audio;event;
-8126.037;-8119.657;2762.349;-8839.514;8.734555;-3.6379;-8066.977;-8103.223;-0.443597;0.3644668;0;13:28:32 Глаза закрыты;
-8330.28;-8326.296;1294.497;-7894.805;8.457358;-8.523877;-8270.857;-8311.628;-0.3781839;0.1042312;0;
-4689.111;-4681.102;902.799;-5061.137;9.119422;-8.582295;-4621.986;-4665.854;-0.1829019;0.2340612;0;
5273.985;5280.441;1746.717;4663.423;9.511424;-4.889671;5350.756;5302.903;0.1421186;0.2987933;0;
7362.602;7355.62;2511.702;7260.242;10.57359;-4.415939;7415.027;7375.343;0.2719105;-0.09131098;0;
3648.115;3635.439;3620.369;4019.884;2.927159;-4.210553;3674.516;3647.115;-0.05319947;-0.4160559;0;
3922.747;3912.021;5140.153;4113.937;1.786118;-4.474193;3950.136;3925.84;0.07678867;-0.4806052;0;
-69.7215;-86.07438;5496.026;834.652;-2.436211;-1.321621;-48.60629;-72.06615;0.3365809;-0.2852203;0;
-10169.23;-10181.26;4642.242;-10452.64;-7.189185;0.3542801;-10160.52;-10174.79;0.1413407;-0.09003167;0;
-12201.35;-12198.38;3743.184;-14665.29;9.89832;-9.224452;-12170.94;-12192.16;0.206166;0.3648302;0;
-8055.398;-8049.627;2647.096;-8819.255;12.2329;-12.02841;-7998.158;-8038.051;0.1409915;0.5593656;0;
-8379.199;-8375.996;1143.628;-7916.999;8.13477;-5.452114;-8323.767;-8363.541;-0.1839869;0.03906484;0;
-4889.358;-4882.175;701.3574;-5270.401;10.87229;-5.245687;-4827.344;-4868.421;-0.2487694;-0.1558764;0;
5134.3;5139.321;1533.89;4525.426;-5.147192;-7.852689;5206.278;5158.683;-0.3134868;0.1691169;0;
7286.119;7277.142;2295.871;7184.618;-10.36596;-8.246696;7334.818;7296.829;0.0766323;0.1039796;0;
3665.911;3651.274;3408.535;4030.465;-0.5762776;-5.961051;3689.417;3664.6;0.1415226;-0.2859289;0;
4073.896;4061.084;4937.028;4263.234;-1.513704;-4.816352;4096.645;4073.679;-0.6382276;-0.4155763;0;
70.6092;52.51682;5288.919;954.6113;-4.928434;-7.356803;85.49543;64.56776;-0.2477823;-0.090322;0;
-10045.58;-10058.67;4440.934;-10299.94;-6.061582;-6.813608;-10041.97;-10054.04;0.2722054;0.4944749;0;
-12093.76;-12091.18;3536.112;-14425.68;-5.654325;-7.677479;-12066.5;-12085.94;-0.3127742;0.4290107;0;
-8098.771;-8092.549;2415.933;-8789.422;-5.983437;-8.94244;-8042.794;-8079.287;-0.2474926;-0.09115916;0;
