Fp1;Fp2;O1;O2;POLY3;POLY4;A1;A2;Video;Audio;event;
-18930.23;-12882.3;2151.111;-19223.64;4.569295;-5.229218;-18332.49;-9522.39;-0.09875036;0.143318;0;13:06:42 Глаза закрыты;
-22302.88;-14067.22;804.0629;-23442.01;-8.094949;2.277881;-21310.4;-10108.01;-0.1636185;0.07820661;0;
-17787.09;-10536.51;-1273.514;-18786.77;-12.03795;4.887927;-16893.61;-7659.466;0.0964153;0.01316068;0;
-25833.71;-17065.65;-3102.923;-26772.43;-14.37038;7.294279;-24779.69;-11518;0.1612858;-0.05181989;0;
-3707.735;-2705.855;-3291.849;-4561.287;-21.1211;10.6361;-3403.087;-3020.831;-0.163713;0.01319952;0;
19270.72;12517.59;-2498.532;19844.42;-15.87594;11.22826;18557.4;8774.729;-0.2285158;-0.1167484;0;
17937.39;11116.63;-1289.785;19111.82;-14.31877;14.09712;17089.36;8418.759;0.09655047;-0.2465658;0;
17176.07;10918.63;898.256;18116.58;-17.58691;10.33203;16407.32;7989.855;0.03148611;-0.246318;0;
20407.34;13300.46;2805.207;21481.72;-18.50627;9.115955;19553.03;10277.2;-0.03351286;-0.3110379;0;
9625.477;6042.063;3004.162;10290.13;-18.62237;5.288891;9153.082;3361.38;0.2913575;0.07907871;0;
-18775.03;-12677.83;2141.606;-19061.23;-17.66565;0.8628249;-18181.41;-9415.546;0.2260974;0.403836;0;
-22125.66;-13965.55;786.0724;-23254.13;-21.13053;2.000546;-21145.02;-9993.836;-0.03399913;0.5983322;0;
-17718.63;-10548.29;-1281.647;-18737.99;-24.99504;1.194862;-16822.29;-7493.5;-0.09893231;0.2079269;0;
-25600.06;-16829.56;-3112.251;-26529.44;-21.3526;1.327628;-24536.79;-11149.99;-0.3587023;-0.6368574;0;
-3472.575;-2517.447;-3294.015;-4250.018;-20.46049;1.058362;-3194.111;-2828.883;-0.6831785;-0.3113808;0;
19357.74;12579.81;-2489.593;19968.54;-21.7791;3.401579;18625.65;8830.397;-0.4875901;0.2086708;0;
18166.78;11354.25;-1268.61;19329.7;-19.94855;3.867042;17325.25;8666.853;0.0326386;-0.05140823;0;
17426.08;11155.2;938.4312;18363.47;-25.82301;7.480113;16655.04;8227.923;0.1625405;0.01361076;0;
20415.56;13325.45;2849.152;21494.44;-28.81117;11.08967;19561.7;10304.06;0.09740982;0.1435318;0;
9800.868;6115.557;3066.054;10460.69;-28.11264;7.997317;9323.304;3427.518;0.2272466;-0.1164818;0;
-18240.19;-12301.63;2237.013;-18544.34;-28.75397;9.596871;-17661.05;-9095.556;-0.03285108;-0.1813321;0;
-22209.93;-13903.75;865.86;-23319.33;-27.58698;0.8796913;-21222.52;-9896.009;-0.2277201;-0.05121524;0;
