Fp1;Fp2;O1;O2;POLY3;POLY4;A1;A2;Video;Audio;event;
179.1508;0;173.4837;212.8606;-6.360797;-0.6105188;178.5489;177.3008;0.03690145;-0.01117439;0;12:44:15 Рука;
23.79881;0;26.38321;52.35232;-8.22944;-0.5429224;26.00855;25.19897;-0.1580376;0.5085756;0;
-538.4425;0;-500.1287;-505.6698;-5.27441;-5.833907;-527.3019;-528.548;-0.09291151;0.4430972;0;
-642.2241;0;-608.0092;-638.8445;-4.934317;-6.698701;-631.7819;-629.7783;0.2969859;0.05284794;0;
-283.3213;0;-277.8139;-312.7412;-11.69451;-9.706202;-276.6377;-275.6982;-0.09311657;0.5725336;0;
-210.3856;0;-206.0082;-246.8349;-12.88821;-12.24168;-201.0851;-204.7691;-0.093023;0.1821543;0;
-16.70899;0;-25.142;-52.55944;-13.14368;-0.7756625;-9.604194;-14.22156;0.2968745;-0.5976369;0;
569.1383;0;521.9833;525.7028;-13.06313;2.239349;568.24;563.7522;0.1016742;-0.2072323;0;
638.094;0;598.2327;606.5086;-13.92066;-3.188397;637.8213;632.1511;-0.02836266;0.1178126;0;
242.339;0;237.0628;258.8861;-14.04039;-2.984244;245.6272;242.4615;0.1016005;-0.4670118;0;
183.1876;0;176.2925;216.6471;-6.123028;0.4347619;183.2866;184.6843;0.03653109;-0.3366079;0;
21.58463;0;27.25272;54.88561;-3.437558;0.7022568;23.86998;26.703;0.03649439;0.05353436;0;
-542.0912;0;-504.3824;-502.5144;-3.902619;-2.312559;-530.3754;-526.9205;-0.02850962;-0.01148678;0;
-647.3683;0;-621.2542;-638.2535;-3.832324;-3.850842;-634.6648;-629.5268;0.03648636;0.1184595;0;
-288.7728;0;-284.6113;-311.4011;3.271473;-3.846973;-279.8926;-276.3214;0.101417;0.05337308;0;
-215.0196;0;-205.4899;-244.1219;5.61271;-3.910091;-204.5866;-205.017;0.1662825;-0.2065499;0;
-19.71407;0;-26.06106;-50.84862;-6.516718;-13.48448;-13.35203;-14.71904;0.1661154;0.1834617;0;
575.5066;0;528.0616;532.3469;-8.586275;-16.95392;572.6169;570.5016;-0.02895354;0.4431467;0;
645.5803;0;605.7417;613.8957;-14.67322;-10.30582;643.7554;639.5808;-0.1588591;-0.01206997;0;
240.6973;0;237.4429;262.2053;-19.74869;-10.63038;242.2476;240.5135;-0.2886342;-0.2069599;0;
178.4866;0;175.3604;220.3378;-11.95931;-7.739429;177.3492;179.8647;-0.2233768;-0.1417846;0;
17.57553;0;25.32199;57.38566;-12.34846;-5.856252;20.12491;22.88774;0.231619;-0.2066094;0;
-546.3462;0;-504.9994;-502.5781;-12.93927;-8.864477;-534.679;-531.1693;0.1014516;-0.3363365;0;
-647.8709;0;-613.3748;-635.6309;-11.92189;-8.587639;-635.8406;-630.5853;-0.09355237;-0.1410965;0;
-283.028;0;-272.1171;-304.0961;-14.11973;-7.105385;-274.1956;-271.0696;0.03647632;0.2488493;0;
-207.7188;0;-193.758;-234.4504;-13.90447;-6.428416;-196.3341;-198.2087;0.101407;-0.01127014;0;
-15.1068;0;-17.08948;-41.6241;-10.67532;-8.565411;-7.606619;-11.22843;0.3611745;-0.07622615;0;
577.423;0;534.338;538.5636;-8.052628;-8.422838;575.358;572.5519;0.4257789;0.1837198;0;
