Fp1;Fp2;O1;O2;POLY3;POLY4;A1;A2;Video;Audio;event;
-24207.67;-19193.03;-221.1758;-28912.74;-3.243889;3.796892;-25773.46;-14828.4;-0.5348111;-0.1473459;0;13:29:32 Рука;
-7763.146;-5059.281;-1245.189;-14774.5;-9.603642;6.137419;-9292.475;-5071.133;-0.3393717;-0.6669366;0;
-4307.875;-612.4144;-2723.194;-11151.92;-17.56459;8.207723;-5849.661;-1121.505;0.2456753;-0.4063971;0;
1169.967;1171.711;-3304.164;-1278.043;7.503938;-1.445884;1271.641;684.2307;0.05052645;0.1787173;0;
17452.62;13300.34;-2590.264;21129.78;10.37679;-2.851011;18919.07;10970.14;0.1804104;0.3734398;0;
19372.38;15808.18;-1865.149;24899.29;4.137069;1.438639;20761.53;13727.11;0.1802291;0.2431299;0;
15187.88;11653.45;-859.9359;20504.36;7.147022;0.7673642;16461.84;9626.72;0.05011331;0.1129509;0;
14924.99;11185.3;679.4673;20719.23;-8.936063;9.139338;16342.89;9076.178;0.5698017;-0.2769667;0;
11980.91;8908.952;1259.961;16677.83;-13.28036;11.47443;12964.54;6928.945;0.3743271;-0.2766884;0;
-11907.04;-9325.136;561.8268;-11612.03;-9.650674;10.86006;-12690.88;-7057.146;-0.4056571;0.2433284;0;
-24610.4;-19651.27;-293.1833;-29358.3;-12.92253;12.38975;-26206.69;-15213.41;-0.4702168;0.1781165;0;
-7380.053;-4977.785;-1287.951;-14431;-9.158502;8.492417;-8905.197;-5065.056;0.3098637;0.04800288;0;
-4059.944;-472.7168;-2772.004;-11111.57;-9.283998;8.015003;-5678.397;-1095.413;0.5044544;-0.0170127;0;
545.8228;746.8954;-3398.559;-2511.489;-9.274669;5.327693;464.3951;265.8794;-0.0157912;-0.08196294;0;
17200.39;13091.55;-2664.23;20522.3;-6.920825;4.518545;18594.71;10783.56;-0.14571;-0.01691325;0;
19475.34;15881.99;-1914.428;25067.24;-12.87474;1.834748;20883.74;13792.44;-0.210531;0.3079405;0;
15156.11;11647.55;-911.8203;20445.57;-12.19222;0.2253755;16417.6;9630.37;-0.3402541;0.2426637;0;
15180.67;11443.07;672.7999;20933.87;-11.17559;6.454379;16598.97;9333.604;-0.3399122;-0.1473842;0;
12349.11;9224.402;1279.912;17108.51;-12.77195;7.184706;13342.47;7225.374;-0.2746033;0.242568;0;
-11499.34;-9037.566;570.7319;-11147.25;4.321163;11.19634;-12289.36;-6796.264;-0.01445803;0.3722589;0;
-24188.19;-19255.39;-279.3521;-28906.7;9.541734;13.12759;-25813.19;-14841.53;0.05052384;-0.08288653;0;
-7718.15;-5135.491;-1281.817;-14736.29;3.034436;12.31061;-9312.661;-5094.289;0.1154404;-0.2127379;0;
-4559.463;-887.3701;-2755.226;-11386.3;6.716058;13.77186;-6157.666;-1246.054;0.1802918;0.1123125;0;
809.1879;869.6075;-3344.597;-1781.605;-3.271025;6.25606;876.5352;492.3557;-0.2746608;0.2421344;0;
17392.21;13244.51;-2625.44;20943.58;-5.343843;3.905432;18844.08;10903.78;0.1803866;-0.0179783;0;
19389.88;15834.05;-1893.731;24916.65;2.899573;4.236423;20773.76;13755.61;0.505042;-0.5376989;0;
15235.1;11714.97;-882.8039;20515.2;2.026003;1.084029;16498.77;9691.556;-0.2750735;-0.7320607;0;
15040.82;11314.08;671.0837;20812.12;13.81296;5.905589;16447.76;9205.183;-0.2098298;-0.4064884;0;
12059.77;8966.857;1267.359;16806.27;18.21971;5.832672;13042.78;6970.942;-0.01471693;-0.3411126;0;
-11444.85;-8875.221;589.7697;-11132;11.30253;0.2673497;-12243.25;-6773.673;-0.4045062;-0.2758026;0;
-23955.18;-19030.04;-253.0246;-28697.14;12.89876;-0.7376019;-25580.54;-14690.42;-0.5340344;-0.01565605;0;
