Fp1;Fp2;O1;O2;POLY3;POLY4;A1;A2;Video;Audio;event;
-17302.06;-10586.09;-33.68685;-20507.64;-4.876143;9.312057;-17952.83;-8025.664;0.04924525;0.1010892;0;13:14:40 Глаза закрыты;
-25450.57;-18281.35;4.015566;-28483.73;-5.207012;9.77158;-26058.02;-13085.21;0.5039672;0.4907917;0;
-16677.85;-12480.34;-223.0931;-19545.87;-5.000709;1.456;-17089.63;-9361.285;0.1786241;0.1654618;0;
14099.5;10360.06;-413.5231;14699.28;-5.263128;-1.090693;14586.01;7456.281;0.1134772;0.2302629;0;
20878.63;14345.69;-198.5748;24439.58;-8.74144;-1.826409;21968.17;11324.25;0.2432979;0.1650642;0;
17972.63;12359.04;27.33943;21150.1;-10.54034;-3.901045;18895.83;9549.927;-0.3416526;-0.2249057;0;
20738.19;14673.05;5.432333;24066.61;-6.913404;-0.5479783;21741.7;11871.08;-0.2113747;0.100157;0;
18657.67;13204.08;180.745;21542.57;-6.303246;1.060041;19424.74;9959.093;0.1136744;0.2949584;0;
-5551.916;-4294.91;477.0706;-5714.979;-9.378371;-3.763674;-5862.217;-3970.902;-0.1463092;-0.03017474;0;
-23129.41;-15870.13;247.066;-26117.98;-8.966805;-4.228772;-23981.2;-11879.42;-0.01622746;0.09979028;0;
-17661.25;-10830.1;-5.586651;-20880.49;-9.895801;5.554741;-18317.94;-8171.528;0.1786909;0.2296247;0;
-26081.07;-18852.73;2.118218;-29120.88;-10.22065;8.094511;-26696.33;-13650.09;0.1785113;0.09945928;0;
-16878.9;-12636.32;-234.8429;-19772.18;-3.646297;10.16273;-17297.06;-9567.717;0.04839727;-0.0955427;0;
13998.77;10329.55;-421.6379;14574.25;-1.097038;13.16675;14481.86;7418.442;0.1782833;-0.2903487;0;
20811.52;14282.96;-219.8624;24366.86;-6.320848;8.933714;21897.27;11253.51;0.3080389;-0.290057;0;
18018.91;12406.06;13.77248;21188.42;-8.123158;9.393618;18939.01;9601.698;-0.08207471;0.2299732;0;
20735.85;14677.39;5.793891;24057.3;2.200131;8.111504;21738.43;11863.25;-0.4068289;0.3596768;0;
