Fp1;Fp2;O1;O2;POLY3;POLY4;A1;A2;Video;Audio;event;
26587.18;22057.49;-7070.593;31568.81;-0.8936348;-0.9195445;27501.88;18088.44;-0.439569;0.1052471;0;13:31:05 Рука;
1841.265;2721.522;-7140.512;2814.719;2.256071;-2.994969;1139.187;2613.801;0.01564404;0.1051413;0;
-34539.41;-30538.51;-7890.832;-34700.82;7.812533;-0.7146624;-35413.26;-26536.63;-0.04933902;-0.219801;0;
-28663;-25116.18;-8654.233;-31723.77;12.56108;-1.115842;-29168.11;-21155.22;-0.3741262;-0.02467814;0;
-15139.73;-11524.04;-9921.365;-19173.17;11.81153;-1.583601;-15624.92;-7692.748;-0.1788482;0.1052813;0;
-14648.49;-10963.08;-11089.12;-19153.05;15.14856;-1.180112;-15287.71;-7365.585;-0.3086032;0.559947;0;
11552.58;11444.36;-10860.24;8657.369;3.344343;-2.786395;11592.05;10833.55;-0.5681624;0.884221;0;
32685.64;27507.72;-9983.95;38104.05;-1.68286;-3.051527;34158.75;23257.21;0.3419512;0.03875711;0;
29032.73;23467.3;-9188.063;34579.42;6.892647;-1.909873;30383.05;19442.1;0.9263137;-0.2861185;0;
26113.71;20587.41;-7718.065;30107.17;3.804262;-2.376834;27317.74;16528.1;0.3406768;0.03900566;0;
25658.12;21443.86;-6375.388;30030.88;4.604722;0.50582;26451.47;17634.7;-0.1144368;-0.09096822;0;
-789.3768;508.6685;-6462.872;172.6072;5.872894;1.443073;-1535.253;898.9102;0.01561282;-0.02590947;0;
-38675.98;-34679.61;-7263.503;-38733.61;-13.82526;-0.835797;-39548.02;-30541.69;-0.3092396;0.2989533;0;
-33206.41;-29667.45;-8023.07;-36174.61;-18.29935;0.5047015;-33711.12;-25763.29;-0.5038309;0.2336856;0;
-19868.34;-16284.62;-9243.797;-23870.43;-14.46354;-6.327882;-20358.76;-12450.46;0.08138145;0.0385487;0;
-19348.63;-15567.58;-10386.74;-23803.41;-16.92725;-8.197045;-19962.46;-11836.32;0.2112344;0.1684447;0;
8816.168;9072.422;-10123.84;5619.272;-3.312587;-0.01707435;8884.424;8806.552;-0.2437493;0.1033081;0;
32019.83;26984.91;-9243.01;37137.53;1.446163;0.8537209;33468.15;22815.16;-0.178537;-0.2865998;0;
27951.09;22683.18;-8478.57;32602.16;-2.975919;5.742495;28870.22;18643.01;-0.04842294;-0.1563771;0;
24845.62;19759.5;-7023.997;26492.19;-1.56641;8.817818;25576.2;15659.42;-0.3082437;-0.02628532;0;
23500.38;20011.12;-5698.196;26106.97;7.477494;5.526916;24214.3;16463.19;-0.3729013;-0.2861283;0;
-4972.343;-2868.954;-5797.48;-4219.794;11.4221;6.325158;-5706.147;-1855.117;-0.1776246;-0.2858408;0;
-42661.09;-38651.88;-6597.718;-42629.29;6.051984;7.18958;-43506.82;-34387.37;-0.1774461;-0.4154882;0;
-36915.57;-33436.38;-7370.416;-39928.48;9.328433;7.584254;-37410.47;-29544.62;0.08260159;0.104668;0;
-23786.17;-20224.14;-8604.698;-27774.62;-5.617768;5.701111;-24280.18;-16364.3;0.1474859;0.4943669;0;
