Fp1;Fp2;O1;O2;POLY3;POLY4;A1;A2;Video;Audio;event;
274.1639;0;0;268.1784;-6.235141;4.107454;264.2026;259.4992;0.2164712;-0.1557917;0;12:34:59 Глаза закрыты;
220.1655;0;0;213.249;-12.72659;-4.939125;209.3395;208.0142;-0.0436157;0.1042342;0;
127.1784;0;0;134.2618;-14.45511;-5.871923;118.4873;118.4126;0.02139547;0.2340642;0;
-450.1593;0;0;-406.7263;-11.76127;-0.9094079;-450.4709;-451.6699;0.1513087;0.03892696;0;
-639.1742;0;0;-617.7113;-10.81145;0.2302157;-639.6729;-639.5588;-0.3685821;0.03888785;0;
-299.8897;0;0;-322.3013;-13.74832;6.258204;-305.6977;-305.2715;-0.4331791;0.1687835;0;
-239.7435;0;0;-260.5708;-14.87261;8.529336;-243.9214;-247.0563;0.3468643;0.2335812;0;
-112.1916;0;0;-144.9295;-0.8588386;16.96037;-117.9271;-122.3706;0.4114831;0.1683792;0;
517.0425;0;0;447.1685;2.222507;21.23011;501.755;498.6902;-0.1736365;0.1032426;0;
681.8773;0;0;634.9996;3.292001;16.85501;666.7927;662.4816;-0.2384293;-0.02679581;0;
263.0898;0;0;261.9238;6.571223;18.3117;254.7669;250.71;0.08664694;0.03819847;0;
203.1055;0;0;197.8801;-2.74613;11.59513;194.0413;193.1744;0.3464293;0.1680948;0;
132.999;0;0;138.4611;-3.747748;8.77032;125.4432;124.3898;0.4760158;-0.02697617;0;
-443.7823;0;0;-402.7186;-8.231961;9.096422;-444.4589;-447.9476;0.4105702;-0.1568837;0;
-647.5462;0;0;-628.8251;-11.57259;5.202394;-648.5345;-650.8328;0.2152556;-0.4165955;0;
-289.3253;0;0;-314.2885;-8.613227;11.5603;-295.8723;-297.2312;-0.1747647;-0.6760463;0;
-224.8168;0;0;-250.5671;-11.28389;11.81662;-231.6072;-235.8383;-0.4344585;-0.02569353;0;
-115.021;0;0;-154.426;-4.239954;4.10195;-124.0534;-128.2802;-0.3040873;0.1692343;0;
512.6541;0;0;437.4317;-3.566108;3.22705;495.3849;492.0369;-0.173847;-0.1557724;0;
680.242;0;0;624.4604;-7.849432;-3.809278;663.1776;656.647;-0.04373765;0.1042535;0;
273.3877;0;0;260.7655;-7.907918;-7.958271;261.8376;255.2512;0.08624098;-0.025786;0;
215.8917;0;0;202.4077;-15.13462;-0.1803758;202.5417;199.8974;0.1511217;-0.4155641;0;
119.848;0;0;117.8092;-16.52593;-0.3141604;107.3235;105.6188;0.2159372;-0.2852119;0;
-453.4843;0;0;-420.1638;-22.60392;-2.926179;-457.438;-461.0775;0.2806875;-0.09002329;0;
-639.9972;0;0;-625.7631;-25.19415;-2.454358;-644.5717;-647.3329;0.08550347;-0.02496549;0;
-299.3375;0;0;-326.5969;-19.8102;-8.279285;-311.5285;-313.7873;0.1503849;-0.4797118;0;
-232.2578;0;0;-260.4268;-19.52187;-10.54826;-243.3746;-248.0049;0.02029911;-0.8040665;0;
-100.9653;0;0;-143.0365;-11.80007;-4.978204;-112.883;-116.5092;-0.49946;-0.4784218;0;
520.1365;0;0;442.7504;-8.573037;-4.504443;499.86;498.174;-0.4989582;-0.1531044;0;
685.2181;0;0;630.5234;-5.751384;-7.647993;665.0869;661.0288;-0.04368542;-0.08798324;0;
276.4222;0;0;267.5095;-2.664146;-7.640308;260.7465;256.8799;0.02132582;-0.2178295;0;
