Fp1;Fp2;O1;O2;POLY3;POLY4;A1;A2;Video;Audio;event;
-652.7822;0;0;-579.7932;11.86934;1.67126;-642.1021;-641.6666;0.125387;-0.2111439;0;12:37:00 Глаза закрыты;
-488.646;0;0;-475.5127;6.967292;5.554591;-483.7237;-481.1647;0.320163;-0.4708011;0;
-195.802;0;0;-219.7882;7.29606;5.147112;-194.1955;-194.2627;0.1899066;-0.1454913;0;
-219.843;0;0;-243.5553;1.259533;9.026828;-217.0512;-221.0539;-0.2000882;0.5043283;0;
177.6782;0;0;112.0108;0.05281859;10.29043;173.0334;170.2841;-0.2648546;0.4388542;0;
712.793;0;0;629.2632;-2.760274;0.2998809;702.1559;699.1595;0.1252156;-0.1462928;0;
492.3123;0;0;469.8357;-3.896576;-1.776891;486.6209;481.2537;0.3849592;-0.01621114;0;
174.9769;0;0;187.9426;-0.8785507;-5.392062;170.6655;168.4896;0.319605;0.3736092;0;
222.0273;0;0;227.6087;-1.413531;-7.931996;215.5339;216.4212;0.1893492;0.2432991;0;
-135.8285;0;0;-94.95798;9.639951;-8.057991;-135.8811;-135.8693;0.384061;0.308022;0;
-645.7481;0;0;-584.9912;12.44428;-9.59038;-640.0536;-639.0423;0.5136097;0.1128105;0;
-484.4301;0;0;-481.3927;13.43615;-1.275104;-483.4264;-481.2292;0.3181916;-0.4070416;0;
-208.2693;0;0;-239.9676;16.30304;2.611065;-209.5156;-209.8818;0.1229699;-0.2117306;0;
-221.116;0;0;-248.3471;4.363942;-0.4056684;-220.2371;-223.6639;-0.07205568;0.3082209;0;
188.4004;0;0;123.5906;0.9433052;2.072986;181.9697;179.6082;0.05795141;0.2429438;0;
706.3881;0;0;627.3381;1.478221;7.496398;693.717;691.7952;-0.007074164;0.112765;0;
486.7259;0;0;470.7861;-1.403653;10.1012;479.6272;475.521;-0.2669364;0.3075538;0;
175.8929;0;0;197.1379;-5.890221;11.89947;170.4255;169.5092;0.0581685;0.1123427;0;
213.1348;0;0;230.423;-9.165855;12.02148;206.1112;208.3193;0.5128814;-0.08267222;0;
-137.0909;0;0;-88.08605;-6.6784;15.55949;-137.5483;-136.8416;0.6423007;-0.2125238;0;
-643.7609;0;0;-579.313;-7.677043;14.67308;-639.9699;-637.9521;0.4467534;-0.2772776;0;
-486.1929;0;0;-476.7822;-4.855314;12.11299;-487.2783;-484.1381;-0.07343426;0.0478377;0;
-198.4113;0;0;-221.3688;-2.372189;11.43111;-201.4321;-201.3561;-0.1383278;0.112757;0;
-227.3848;0;0;-246.0713;-9.871894;-4.923848;-228.5285;-231.0762;-0.1381888;-0.1472257;0;
170.6437;0;0;110.8092;-10.33049;-10.27741;163.0669;161.084;-0.2679847;0.04782427;0;
715.8231;0;0;638.495;-6.703762;-12.34356;702.0071;699.4639;-0.007846013;-0.08215848;0;
494.4648;0;0;477.6215;-7.099168;-16.88587;485.9724;481.8076;-0.007838128;-0.3419453;0;
165.8829;0;0;181.4777;0.1426101;-8.161367;160.8348;159.9851;-0.1377649;0.178137;0;
214.4417;0;0;225.5231;2.553364;-6.880492;208.2118;210.2989;-0.2675612;0.177958;0;
-129.8508;0;0;-79.92508;-2.740487;-3.792363;-129.3279;-128.6796;-0.3322597;-0.2120248;0;
-645.2112;0;0;-575.658;-3.742111;-0.305562;-638.6918;-637.2946;-0.1370238;-0.3417465;0;
-489.7033;0;0;-476.8165;-2.265459;0.2975914;-487.5007;-484.9805;-0.1368861;-0.4713378;0;
-199.7942;0;0;-220.8408;-3.066489;3.177436;-199.4054;-199.5739;-0.006813897;-0.1460275;0;
-219.1461;0;0;-235.4865;-9.426421;1.164878;-217.3835;-219.2383;-0.07177439;0.04902131;0;
178.3119;0;0;124.0071;-12.63213;1.297673;173.3887;172.5351;-0.1366696;-0.2108973;0;
702.9939;0;0;627.7542;-11.94985;3.908582;693.4529;691.5383;-0.1365323;-0.08075073;0;
482.4605;0;0;464.955;-13.41171;3.770688;478.3639;474.7646;-0.006460417;0.1142325;0;
170.1325;0;0;192.0622;-15.94286;3.498968;168.6637;167.0669;0.05851342;0.179085;0;
216.4382;0;0;234.9101;-16.26261;3.294503;213.8464;214.6875;-0.2663821;0.1789051;0;
-132.8538;0;0;-80.60499;-17.85386;1.281827;-128.5714;-127.9186;0.1236896;0.04879062;0;
-645.3376;0;0;-576.8995;-17.76857;0.6107097;-635.7498;-633.9106;0.448402;-0.1461605;0;
-490.5792;0;0;-480.3056;-12.05729;-0.7965456;-486.4357;-483.4115;0.05814744;-0.01607889;0;
-201.6062;0;0;-225.5133;-9.03106;-1.934455;-199.5909;-199.8806;-0.136813;0.308774;0;
-230.8888;0;0;-252.2107;-7.145976;-0.7938014;-226.9389;-230.0394;-0.3965449;0.178529;0;
163.4576;0;0;102.5521;-3.990963;-1.596799;160.6569;159.1837;-0.3961464;0.04841496;0;
716.7651;0;0;638.0548;-2.714156;2.89254;708.47;706.9983;-0.005944355;-0.08156838;0;
505.6506;0;0;488.1137;-1.908121;5.568951;501.4868;497.8302;-0.07090572;-0.1464538;0;
178.994;0;0;197.7065;6.46654;-3.077321;175.3966;174.3048;-0.4606385;-0.01637191;0;
231.2878;0;0;243.4223;9.005638;-3.609971;225.57;227.7902;-0.5901104;-0.1462902;0;
-117.9567;0;0;-69.85249;2.432506;-0.4582674;-117.2969;-115.3913;-0.004811338;-0.2760778;0;
-643.9487;0;0;-578.3392;1.559406;-1.127636;-636.418;-634.5768;0.4499649;0.04903628;0;
-496.313;0;0;-488.8652;-3.466003;6.375463;-491.4136;-489.3244;0.3845454;0.3088564;0;
-213.8936;0;0;-238.4372;-6.74505;7.775577;-210.9981;-211.1598;0.384159;0.113644;0;
-232.0444;0;0;-252.6903;-4.72854;11.11691;-227.3402;-230.3129;-0.006031028;0.04856248;0;
172.2357;0;0;110.6936;-5.393375;15.05761;170.251;167.4687;-0.3308617;0.113481;0;
709.6674;0;0;629.509;-8.736858;1.244363;700.3134;697.5964;-0.2655619;-0.2764371;0;
502.0583;0;0;482.0753;-8.996499;-1.168273;496.9615;493.2478;-0.3952297;-0.3411267;0;
183.6511;0;0;198.4832;-9.389601;2.851755;181.2457;180.0344;-0.3948326;-0.1458818;0;
219.7608;0;0;227.8314;-11.2552;0.7725406;214.6716;216.2102;-0.1995338;-0.08076792;0;
-129.0348;0;0;-85.36521;1.616832;8.206626;-128.809;-128.3964;0.1255034;0.1142153;0;
-641.6474;0;0;-578.7814;4.69569;9.80597;-635.7997;-635.3251;0.1903446;-0.08080153;0;
-493.3269;0;0;-487.6828;1.34207;7.250766;-493.1697;-491.0089;-0.1996507;-0.1456877;0;
-210.3482;0;0;-240.3793;5.360185;8.449173;-213.0022;-213.2799;-0.2644174;0.3092301;0;
-227.6905;0;0;-256.1923;-9.180863;6.163385;-228.7177;-231.119;0.1256523;0.5687888;0;
165.7157;0;0;99.57397;-10.51081;6.8269;156.9434;156.3561;0.1904934;0.4382825;0;
696.6572;0;0;615.5895;-10.09811;3.939896;682.6464;680.248;-0.0695674;0.1130055;0;
492.8718;0;0;472.1677;-15.17915;2.462312;485.1843;480.4146;0.1254045;-0.4718142;0;
173.2244;0;0;189.71;12.23151;10.29672;167.1065;166.6519;0.3201805;-0.4063728;0;
216.9658;0;0;227.9376;17.44413;11.82686;208.7925;211.5243;-0.2648472;0.1787417;0;
-121.7071;0;0;-77.26314;10.79517;11.48018;-122.6883;-120.9587;-0.1996138;0.1135947;0;
-645.7588;0;0;-582.4315;13.93216;12.87517;-640.3672;-637.8898;0.3203255;-0.2113561;0;
-502.0569;0;0;-493.5157;-1.21974;11.45571;-500.2314;-496.0698;0.06013428;-0.2761111;0;
-207.7001;0;0;-230.2144;-4.298997;11.84597;-207.2508;-205.3422;0.2549759;-0.145899;0;
-233.8531;0;0;-252.0345;-12.26528;10.6285;-230.968;-232.8095;0.1897523;-0.08078506;0;
157.8726;0;0;100.0419;-18.34852;10.08196;153.8832;152.4184;-0.6550137;0.04923082;0;
710.686;0;0;637.5461;-10.89535;11.94723;700.7037;698.9905;-0.7842903;-0.1457207;0;
508.5106;0;0;497.1008;-12.69306;12.60505;504.5354;500.6999;-0.1338288;-0.1455743;0;
185.037;0;0;209.4956;-4.373937;9.109397;183.8768;183.1687;0.2561097;0.5042455;0;
222.9569;0;0;244.0177;-0.7531953;7.224721;219.1742;221.965;0.5157217;0.3738041;0;
-133.4006;0;0;-76.1917;-4.302412;14.25055;-130.7452;-129.2691;0.3852689;-0.01637557;0;
-653.5675;0;0;-576.9883;-1.886215;14.43718;-644.668;-642.8185;0.1250124;-0.08132647;0;
-505.1101;0;0;-483.7052;-3.692981;13.95379;-501.1545;-497.3704;-0.005047926;0.1136573;0;
-221.1201;0;0;-236.843;-3.019685;15.21245;-219.7296;-219.1352;-0.1349775;0.3084451;0;
-238.0143;0;0;-254.7209;-3.016651;4.078237;-234.7512;-238.0929;-0.1348419;-0.01670153;0;
161.7116;0;0;106.6035;-3.147342;1.327839;159.0369;156.5731;-0.1996738;0.1132499;0;
703.1519;0;0;633.3566;-0.7332816;1.795385;694.7952;692.5838;-0.3294078;0.3080382;0;
506.5438;0;0;496.6636;-0.3977522;-0.7516482;502.7557;499.2972;-0.1991421;-0.01710806;0;
185.6334;0;0;210.9954;3.487414;5.277449;184.4103;183.5164;0.1258947;0.04787648;0;
218.3053;0;0;238.7693;5.694712;6.27689;215.4593;217.0651;0.3206702;0.177763;0;
-126.6782;0;0;-73.5013;-0.8750932;5.868685;-124.0241;-123.6693;0.1904133;-0.1472523;0;
-654.4731;0;0;-581.8594;-3.955673;7.269308;-646.5118;-646.1574;-0.004680054;-0.08213699;0;
-511.0747;0;0;-495.0681;6.899293;4.85074;-507.1819;-505.2661;-0.13461;0.3077496;0;
-205.4021;0;0;-230.3284;7.696644;4.376986;-204.0119;-204.0971;-0.06950743;0.242473;0;
-227.0597;0;0;-252.0859;-0.21532;7.118766;-223.4221;-227.6301;0.1254644;0.1122947;0;
150.7912;0;0;86.87211;-0.3488255;7.714459;148.6155;142.2879;0.255273;0.1771492;0;
697.6772;0;0;616.0188;-11.60161;3.620871;688.7571;681.0615;0.1250819;0.2419386;0;
505.1975;0;0;484.2158;-14.93885;2.545506;501.4713;492.0968;0.05998884;0.5665322;0;
178.4789;0;0;193.3752;-12.17718;2.007085;177.5675;171.7631;0.05992856;0.5009956;0;
223.8392;0;0;229.6625;-13.90723;-0.07128096;219.3055;218.8792;-0.2649684;0.2406228;0;
-118.5263;0;0;-79.28807;-3.6445;4.952389;-117.1833;-118.1089;-0.2647021;0.3053484;0;
-653.1384;0;0;-591.9507;-0.8277988;6.019139;-645.425;-646.5995;0.06040056;-0.1497298;0;
-507.9922;0;0;-504.587;1.249138;-0.4171482;-505.7213;-505.8327;-0.1345621;-0.4744161;0;
-215.3786;0;0;-248.1461;3.994549;-0.9525926;-216.0461;-218.4687;-0.0694596;-0.2790374;0;
-239.0877;0;0;-267.1371;3.789464;-2.89414;-237.4431;-242.6119;0.3853816;-0.1488223;0;
156.6412;0;0;91.57613;5.460596;-4.02982;152.5371;147.9357;0.1900923;0.1761639;0;
701.6473;0;0;620.0309;-2.783913;0.3279976;692.05;688.3903;-0.3298374;0.3059216;0;
503.1042;0;0;479.9156;-5.862575;1.734188;498.2642;493.5462;-0.4594407;-0.2141245;0;
180.9479;0;0;194.8889;-3.645881;1.196582;178.1742;176.3345;-0.1341423;-0.01900734;0;
220.8709;0;0;230.9248;-5.785672;1.66426;216.4134;218.4485;0.1258618;0.3708158;0;
-119.9298;0;0;-78.08951;-6.584142;6.016478;-118.5108;-118.0394;-0.004199319;0.1105738;0;
-648.3561;0;0;-587.6923;-7.247111;6.613157;-641.3788;-641.0329;-0.1341298;-0.409276;0;
-503.6521;0;0;-499.0836;-8.043137;7.678239;-501.1796;-499.2722;-0.06902767;-0.7986688;0;
