Fp1;Fp2;O1;O2;POLY3;POLY4;A1;A2;Video;Audio;event;
391.8789;0;0;0.06071948;-8.489291;19.20387;412.8115;412.0479;0.1385104;-0.1010892;0;12:39:15 Рука;
146.4208;0;0;0.06065847;-4.193854;18.78268;167.8321;171.1922;0.07340386;-0.165955;0;
194.437;0;0;0.06059752;-9.548274;17.55812;214.2026;219.8707;0.0733301;0.02911382;0;
-253.5333;0;0;0.06053663;-6.724665;17.00461;-226.7911;-223.3151;0.2031911;0.2239866;0;
-704.1144;0;0;0.0604758;-15.22535;10.75823;-673.0887;-668.0546;0.07305225;0.2237615;0;
-445.4116;0;0;0.06041504;-16.68295;8.671073;-418.8524;-411.8867;0.008011504;0.02863467;0;
-222.0761;0;0;0.06035433;-10.16945;3.169881;-196.2932;-194.0197;-0.1219312;0.09357325;0;
-228.5371;0;0;0.06029369;-10.56137;-1.053228;-202.7801;-204.0071;-0.3816781;0.4183159;0;
268.1305;0;0;0.0602331;-0.5030742;5.512035;285.9281;286.1391;-0.3163272;0.3529283;0;
696.7704;0;0;0.06017258;2.176749;5.171582;711.3019;711.0754;-0.1211074;0.2876063;0;
379.0422;0;0;0.06011212;4.250666;4.496556;399.4935;398.8924;0.1388837;0.3522847;0;
148.8394;0;0;0.06005172;7.461576;5.831697;169.6449;172.2928;0.008809468;-0.03787338;0;
183.6098;0;0;0.05999138;-1.320808;-0.135522;202.2705;207.5394;-0.05616672;-0.16777;0;
-263.9749;0;0;0.0599311;-2.323858;-1.14013;-238.0865;-233.5725;0.2687264;-0.1026341;0;
-694.7429;0;0;0.05987088;-6.072567;2.813009;-663.3209;-658.2493;0.1385217;-0.5573024;0;
-441.5468;0;0;0.05981072;-9.147924;3.279063;-413.6545;-408.2756;0.008447848;-0.4268077;0;
-217.2157;0;0;0.05975062;-6.92793;3.811631;-190.6008;-189.1004;-0.05652798;-0.1665095;0;
-222.5571;0;0;0.05969058;-9.399216;4.477509;-196.0315;-196.9063;0.008496159;-0.1013748;0;
260.9861;0;0;0.05963061;-2.088753;6.482498;279.6765;280.2393;-0.05647972;0.02866173;0;
696.2549;0;0;0.05957069;0.25787;8.083574;711.3658;710.5537;-0.3812597;0.1585676;0;
388.772;0;0;0.05951083;-7.780341;6.266913;410.6143;407.4293;-0.1859746;0.5482123;0;
150.501;0;0;0.05945104;-7.571453;6.796479;174.008;173.5747;0.2040164;0.2877921;0;
181.7715;0;0;0.0593913;-9.841021;9.669794;204.1304;206.1963;0.2687787;-0.4921052;0;
-262.438;0;0;0.05933162;-11.10393;11.5356;-232.7927;-231.8533;0.1385739;-0.2317413;0;
-696.1437;0;0;0.05927201;-6.404699;11.12211;-663.0299;-661.1544;-0.3163367;0.0283609;0;
-440.1975;0;0;0.05921245;-6.062495;12.65154;-412.989;-410.1159;-0.2510515;-0.3614717;0;
-214.0561;0;0;0.05915295;-3.378062;14.2463;-187.4372;-188.2526;0.07403748;-0.4910431;0;
-220.2753;0;0;0.05909352;-2.168243;14.83483;-192.1839;-195.4348;-0.05597159;-0.2306803;0;
264.8898;0;0;0.05903414;0.2448332;21.45111;285.0819;283.2086;-0.4457194;-0.03554654;0;
691.5965;0;0;0.05897482;3.59349;23.03715;707.7703;703.8999;-0.3153369;0.09442388;0;
382.744;0;0;0.05891556;-9.136146;23.8178;404.6487;399.2204;0.009816701;0.1592963;0;
153.5994;0;0;0.05885636;-13.34653;25.06642;175.4821;174.8694;0.07477418;0.2241036;0;
181.306;0;0;0.05879723;3.679819;19.28082;201.1053;203.8665;0.3995357;0.0289764;0;
-269.837;0;0;0.05873814;7.158746;18.12286;-242.6238;-240.5526;0.4641016;-0.03602006;0;
-695.4767;0;0;0.05867912;-0.8854234;11.87536;-664.9177;-661.5991;0.2687333;0.09395083;0;
-429.6612;0;0;0.05862016;1.325293;7.576641;-404.6925;-400.5027;0.2684633;-0.4258823;0;
-214.2125;0;0;0.05856126;-3.565183;13.53039;-188.5818;-188.0819;0.07329148;-0.6203564;0;
-236.3611;0;0;0.05850242;-5.035469;12.37808;-209.1944;-211.1312;-0.1216842;-0.229929;0;
264.0625;0;0;0.05844364;7.964036;10.22219;283.081;282.5204;0.0733401;-0.1647307;0;
714.3207;0;0;0.05838491;10.03214;9.07321;728.8848;727.4503;0.1382338;-0.09959779;0;
391.5149;0;0;0.05832624;14.37631;8.461369;411.4991;408.1295;-0.05680717;-0.1644651;0;
145.6199;0;0;0.05826764;17.37598;8.586832;166.2712;166.2157;-0.1217174;-0.4241692;0;
187.3275;0;0;0.05820909;12.53575;0.4733912;206.084;209.2145;-0.05662778;-0.09890625;0;
-256.0129;0;0;0.0581506;12.99167;-2.273263;-230.2788;-228.026;-0.1865056;0.09609517;0;
-690.7245;0;0;0.05809217;5.744944;0.8770973;-660.6435;-657.7682;-0.1863182;-0.4237401;0;
-428.3496;0;0;0.0580338;2.59134;-0.1955109;-403.2962;-399.7367;-0.3160656;-0.163445;0;
-204.9687;0;0;0.05797549;4.128978;3.622591;-180.2529;-180.1952;-0.6405848;0.356458;0;
-216.6943;0;0;0.05791723;1.981375;6.097319;-190.8163;-193.1325;-0.5749738;0.03126309;0;
271.778;0;0;0.05785904;1.24245;-0.2050811;289.7589;288.0697;-0.3145266;0.3560684;0;
