Fp1;Fp2;O1;O2;POLY3;POLY4;A1;A2;Video;Audio;event;
384.382;0;0;273.2023;-14.7253;7.78576;380.3278;380.11;0.04118929;-0.01312341;0;12:38:13 Глаза закрыты;
702.6481;0;0;483.1971;-19.73435;7.175091;698.4106;695.8817;0.430952;0.05185713;0;
329.192;0;0;267.4448;-10.06898;7.636762;331.8302;327.6172;0.1056822;-0.07812967;0;
179.3114;0;0;237.441;-7.848058;9.035729;180.1354;179.7997;-0.1542933;0.1168509;0;
164.6385;0;0;212.09;-13.80202;4.605899;165.2118;166.8754;-0.284073;-0.01320124;0;
-349.8934;0;0;-252.1398;-12.448;5.672998;-340.8874;-340.9745;-0.2188202;-0.01318797;0;
-667.1946;0;0;-576.7856;-10.0246;3.054963;-657.1982;-655.2238;0.1712037;-0.1431094;0;
-361.9274;0;0;-334.3902;-8.205865;0.9084399;-358.2503;-354.029;0.04109701;-0.2729003;0;
-226.8814;0;0;-213.927;-7.125892;17.78686;-222.9581;-222.5517;-0.283781;0.2471127;0;
-193.9823;0;0;-176.4808;-6.449147;21.65388;-189.9381;-191.9683;0.1712755;0.376799;0;
375.7388;0;0;267.7233;-1.084032;19.4218;370.9084;370.1296;0.4959401;0.1815184;0;
713.1915;0;0;485.907;0.3909255;22.95226;705.4299;702.7153;0.3005398;0.1163687;0;
343.5977;0;0;273.0255;0.4569056;11.74329;341.4037;337.1926;0.04036846;-0.208585;0;
181.4588;0;0;238.5184;1.997664;9.052299;179.267;178.6208;0.0403279;0.1814287;0;
171.1566;0;0;216.4772;-3.96619;14.13378;169.6541;169.8207;0.1702221;0.4411157;0;
-347.942;0;0;-249.0065;-4.765512;12.98087;-340.6974;-342.53;0.170051;-0.2739682;0;
-683.6735;0;0;-587.3986;-5.967149;12.63291;-673.2502;-672.8946;0.4947169;-0.07879095;0;
-370.0189;0;0;-339.9324;-7.702465;11.54849;-365.2907;-362.749;0.3642851;0.1161903;0;
-213.1008;0;0;-196.038;-0.05891525;12.87655;-208.8771;-209.274;0.169017;-0.4036652;0;
-176.9672;0;0;-157.3604;1.817154;11.92585;-172.9977;-174.8309;0.2987819;-0.2083576;0;
377.557;0;0;268.6462;2.351192;13.99034;372.4021;372.0075;-0.1562897;0.1166885;0;
702.1393;0;0;483.6431;5.362939;15.65085;694.5533;692.5974;0.1037367;-0.01336347;0;
331.807;0;0;270.7014;1.338086;3.444476;330.8504;327.4596;0.2985345;-0.2082521;0;
172.2412;0;0;232.1361;1.001949;0.4937662;172.7223;172.146;-0.4164063;-0.2730102;0;
166.8832;0;0;215.2238;8.837824;2.904656;168.6132;169.4118;-0.09115115;-0.01286647;0;
-339.0927;0;0;-241.7004;10.37016;0.4234906;-329.3685;-330.0075;0.2987445;0.3119832;0;
-671.2099;0;0;-578.1633;9.9576;7.656978;-658.9342;-657.6985;0.1685096;0.4416044;0;
-374.5592;0;0;-341.8883;10.95197;8.988942;-366.3564;-363.7476;0.2333076;0.311226;0;
-223.8209;0;0;-207.4872;6.787781;6.836457;-215.314;-215.8937;0.5579099;-0.2088255;0;
-179.4307;0;0;-161.4892;4.838578;8.437178;-172.8064;-174.5724;0.3624473;-0.468485;0;
377.0949;0;0;272.5175;7.580382;3.405102;374.3423;374.0148;-0.2226229;-0.3380796;0;
707.6746;0;0;486.261;7.170624;3.066766;702.8633;700.4122;-0.3523339;-0.3377399;0;
345.1454;0;0;278.6266;4.417728;1.724026;346.0236;342.3881;-0.09211054;-0.2724332;0;
186.6281;0;0;247.0499;5.216597;-0.5550042;187.5679;187.3718;0.2328187;-0.1422248;0;
178.8194;0;0;226.9991;-1.151657;9.894647;180.258;182.1236;0.03768275;-0.01214719;0;
-339.9121;0;0;-238.4327;-2.490647;12.36295;-331.1037;-329.6772;-0.1572571;0.05283238;0;
-680.0244;0;0;-578.3971;6.286742;7.728828;-669.7256;-666.489;0.1677376;-0.2070901;0;
-371.0586;0;0;-333.0015;8.156435;9.060721;-365.5177;-361.6597;0.1026017;-0.07694732;0;
-213.0775;0;0;-193.0496;11.89831;4.228968;-207.2298;-206.2493;0.03753126;0.2479667;0;
-176.694;0;0;-155.8117;13.15915;1.947299;-171.6644;-171.8717;0.1674282;-0.01215182;0;
376.0807;0;0;270.1308;21.98816;7.772735;372.6721;373.5269;0.1022927;-0.3369763;0;
706.6615;0;0;485.0637;26.72149;7.229062;701.1948;700.7994;0.1021899;0.05316634;0;
336.6995;0;0;271.6833;11.28832;7.556713;337.3603;335.0912;0.1670545;0.3129823;0;
172.3187;0;0;227.5574;9.134502;8.151966;173.7284;173.3981;-0.15795;0.2477005;0;
169.0846;0;0;210.962;8.38839;1.847501;170.8676;172.4743;-0.5475954;0.3124189;0;
-339.2049;0;0;-242.2098;4.89636;0.9078838;-330.2397;-329.1969;-0.4820778;0.1821703;0;
-673.3834;0;0;-580.8586;10.65222;-2.040155;-662.9905;-660.4495;-0.09178936;0.3768893;0;
-372.5452;0;0;-344.3935;10.77524;-4.583457;-367.4725;-364.5593;-0.1566645;0.4414779;0;
-217.8734;0;0;-204.68;10.56334;1.985354;-212.6184;-212.7691;-0.2864417;-0.01373708;0;
-170.928;0;0;-152.8128;11.89287;2.117325;-165.6158;-166.7033;-0.1562192;-0.33856;0;
376.7186;0;0;279.3111;8.933183;3.923737;373.4047;373.5677;0.1038071;-0.1433178;0;
697.4911;0;0;486.4886;8.120899;5.728211;691.8693;689.9706;0.4285395;0.1166956;0;
339.22;0;0;274.6685;14.87789;0.6318745;340.163;335.83;0.4930762;0.3114804;0;
186.8306;0;0;244.1578;17.07277;1.234086;187.3978;185.5054;-0.22206;0.5060694;0;
187.1426;0;0;233.1678;9.620877;-3.991701;187.6468;187.318;-0.2868042;0.2456916;0;
-331.7222;0;0;-234.2691;8.405761;-6.934817;-323.0976;-324.0508;0.2981901;0.05054266;0;
-691.208;0;0;-595.0397;11.21035;4.994869;-679.4686;-677.7347;-0.02694624;-0.1444102;0;
-383.6678;0;0;-351.2516;10.59588;7.468097;-376.3754;-374.0185;-0.2867885;-0.4041344;0;
-213.0553;0;0;-197.4133;8.777546;2.704927;-207.0197;-208.4133;0.03833634;-0.2088263;0;
-187.7289;0;0;-167.9796;6.557923;3.840919;-182.5739;-184.7781;-0.02666952;-0.2086165;0;
360.2469;0;0;256.9131;11.3741;3.16723;357.2758;356.698;-0.2215447;-0.2733742;0;
708.8345;0;0;487.414;11.96589;3.097064;702.8055;700.0418;-0.1563548;0.0517372;0;
337.746;0;0;271.5325;3.782191;4.701543;337.1577;332.1479;-0.2861324;0.05168521;0;
169.5535;0;0;230.7176;2.370895;4.093972;168.591;166.6472;-0.3508122;0.05163328;0;
188.4985;0;0;233.4218;-2.453282;7.036986;187.0997;187.5317;0.2992137;0.1815161;0;
-324.6206;0;0;-229.2054;-5.532276;7.36483;-317.897;-318.6524;0.03904368;0.1163663;0;
-681.9896;0;0;-587.6697;-1.7093;4.276337;-672.9615;-672.6541;-0.6756363;-0.14362;0;
-375.7079;0;0;-347.1998;-2.578238;3.468245;-371.8113;-370.0675;-0.09025135;0.1813611;0;
-227.4672;0;0;-216.2916;1.510189;-0.5540943;-223.5745;-223.7065;0.03977402;0.3111135;0;
-195.1923;0;0;-180.5921;3.853196;-2.89794;-191.6783;-193.0595;-0.2201353;-0.07900315;0;
368.8454;0;0;263.6786;-1.643032;-3.095977;364.235;363.4173;0.03995525;0.5057823;0;
710.3655;0;0;487.551;-1.239239;-4.633474;702.9485;700.8199;0.1698498;0.7001761;0;
352.2688;0;0;275.9797;-0.9705506;-5.432491;351.0437;347.7928;-0.0252229;0.04979918;0;
189.7464;0;0;239.5331;-2.107675;-6.096862;189.9593;189.0854;-0.2200996;0.1796838;0;
192.1169;0;0;232.5458;4.592248;-6.760565;192.7045;193.0808;0.1049583;0.4393727;0;
-316.0708;0;0;-222.3968;5.860431;-6.887738;-307.238;-308.1113;-0.09004921;0.3739638;0;
-676.8842;0;0;-583.4292;2.438291;-6.344954;-664.6245;-663.9352;-0.3498281;0.2436534;0;
-380.4777;0;0;-351.3344;2.50319;-6.271595;-373.6026;-371.1025;-0.02463988;-0.2763302;0;
-222.1123;0;0;-206.1791;-0.9155768;-4.456876;-215.8063;-215.4326;-0.1545498;-0.6008892;0;
-197.6513;0;0;-173.5508;-2.254803;-3.782569;-191.7265;-192.5401;-0.4142639;-0.6002855;0;
360.2045;0;0;258.2816;-4.596087;-4.850373;357.8775;357.7519;-0.4138476;-0.2098783;0;
715.9761;0;0;487.7192;-7.471856;-4.979465;712.2771;710.1526;-0.1535624;0.05020202;0;
352.3766;0;0;279.8958;-0.7665433;-4.773513;355.7402;352.9307;0.04149391;-0.01481578;0;
176.0484;0;0;240.6967;0.5743735;-4.299958;179.2838;180.2252;0.2363542;-0.1447356;0;
179.932;0;0;231.8341;-6.660848;-9.051304;182.2896;185.229;0.3660514;-0.2745248;0;
-324.183;0;0;-222.2957;-7.256392;-10.71666;-313.9568;-312.7069;-0.2839898;0.1155551;0;
-683.364;0;0;-580.3297;-7.718591;-6.017209;-669.6498;-668.2138;-0.6085411;0.05047163;0;
-384.4523;0;0;-344.4899;-8.782562;-5.676248;-376.6239;-373.4402;0.04174373;-0.4693178;0;
-218.5242;0;0;-196.0307;-1.941234;-6.206408;-211.5783;-210.5842;0.3015712;-0.07904221;0;
-186.6331;0;0;-162.2881;1.275897;-5.865257;-179.2568;-180.4501;-0.08853591;0.2458739;0;
361.2167;0;0;264.8479;-6.160125;-5.189534;360.7145;359.6473;-0.3483163;-0.07920985;0;
706.6174;0;0;489.7186;-6.689798;-4.581595;703.617;700.3021;-0.02312962;-0.01416291;0;
350.6485;0;0;283.3925;0.4168704;-6.720324;353.1483;348.8372;-0.02310638;-0.1440834;0;
175.9463;0;0;241.3163;0.4164515;-7.450383;177.8189;177.4476;-0.3479199;-0.3388406;0;
172.896;0;0;225.0193;7.382258;-6.237204;174.2669;176.2074;-0.2176356;-0.07863078;0;
-325.9646;0;0;-226.8547;9.919459;-6.431886;-317.0363;-315.7225;-0.02251489;0.1163503;0;
-674.774;0;0;-577.0132;1.000885;-6.626372;-663.1686;-660.4193;0.04247507;-0.01370134;0;
