Fp1;Fp2;O1;O2;POLY3;POLY4;A1;A2;Video;Audio;event;
-18412.01;-10877.43;594.0229;-20164.97;33.10232;-19.85851;-18235.3;-7612.987;0.08627663;-0.2390798;0;13:08:08 Глаза закрыты;
-24636.58;-16843.54;-1147.527;-26424.68;26.57232;-20.24045;-24404.3;-11493.4;-0.04374474;0.4108338;0;
451.3283;480.0272;-1179.17;-517.2953;22.12499;-25.44466;478.801;-526.2479;-0.4335048;0.8002251;0;
21378.59;14456.1;-334.1593;22728.37;22.83969;-17.04641;21290.95;10631.16;-0.1082325;0.5395516;0;
18978.93;12067.66;941.3323;20924.49;22.4146;-13.2783;18892.8;9105.361;0.1517456;0.1492054;0;
18488.99;12048.83;3182.619;20141.75;19.37797;-9.246099;18385.59;8945.835;0.08662576;-0.2407485;0;
21445.44;14232.51;4978.517;23290.2;15.47373;-3.74433;21345.23;10853.38;0.2164734;-0.1755393;0;
7618.71;5144.162;5053.63;8439.878;21.01692;-2.668841;7439.498;2948.195;0.02135386;0.2794085;0;
-21385.9;-14756.85;4122.955;-22427.09;22.60339;0.08001863;-21403.17;-10942.61;0.08629975;0.2141604;0;
-21450.21;-13482.8;2635.683;-23474.08;25.79586;0.2139041;-21306.58;-10046.6;0.2161477;-0.04592417;0;
-17971.41;-10565.15;450.0847;-19718.23;32.2003;0.8165355;-17789.55;-7406.4;0.02102851;0.2139914;0;
-24570.19;-16837.23;-1308.984;-26344.83;24.06362;-1.528566;-24336.11;-11427.76;0.02100738;0.343711;0;
570.8931;407.1055;-1359.33;-435.0367;20.95798;-2.196859;602.7097;-486.3979;0.150921;0.01852894;0;
21591.08;14602.53;-521.2439;22915.4;20.33371;-8.022044;21505.99;10769.5;0.02083462;-0.3063264;0;
19072.46;12187.44;782.1406;21020.72;15.89265;-14.17629;18986.84;9216.169;-0.304023;-0.2410512;0;
18716.97;12268;3052.042;20370.79;19.62773;-11.48285;18614.17;9179.047;-0.3686849;0.08402769;0;
21586.81;14375.38;4833.671;23433.55;19.87642;-13.27973;21486.17;10984.21;0.281359;0.08394326;0;
7752.296;5203.365;4885.505;8562.875;20.45869;-9.716414;7569.971;2973.927;0.5409456;-0.04607579;0;
-20621.75;-14046.88;3953.812;-21668.63;23.9881;-6.223661;-20643.86;-10319.83;0.08563071;0.08390521;0;
-20615.63;-12731.1;2462.087;-22628.87;17.46727;-8.092807;-20485.75;-9391.082;-0.3042594;0.2787229;0;
-17511.11;-10218.24;267.3553;-19262.57;14.16718;-6.812;-17349.13;-7133.213;-0.368921;0.3434102;0;
-23939.66;-16182.41;-1483.58;-25749.29;16.36375;-7.341019;-23710.6;-10979.42;0.02125374;0.2131305;0;
933.8701;805.2435;-1534.141;-110.5904;17.68648;-6.462864;967.0558;-302.079;0.3460691;0.08298162;0;
21517.49;14521.7;-711.6064;22836.96;16.39591;-7.996978;21428.55;10696.23;0.1508193;0.2778003;0;
19146.97;12265.2;586.1442;21105.55;14.37068;-9.99843;19059.59;9313.029;0.4755045;0.4074558;0;
18765.98;12316.31;2859.303;20415.06;22.19312;-6.70622;18660.78;9199.458;0.4750267;0.2771117;0;
21612.71;14398.15;4651.122;23465.21;26.39038;-5.895809;21510.37;11044.19;-0.04518933;0.3418006;0;
7998.266;5421.438;4701.952;8833.049;28.70839;-3.746431;7814.46;3136.389;0.2796928;-0.0483469;0;
-20702.55;-14162.79;3748.266;-21728.44;30.4882;-1.130454;-20733.14;-10472;0.5392811;-0.3081677;0;
-20865.69;-13011.06;2254.687;-22872.55;30.05543;-1.531093;-20736.48;-9653.558;0.08396785;-0.1779234;0;
-17151.64;-9880.081;74.82803;-18918.23;26.14046;0.2118792;-16980.3;-6965.75;0.01891614;-0.2427119;0;
-23708.96;-15920.8;-1686.83;-25491.02;27.38699;-1.462785;-23481.59;-10759.67;0.2137992;-0.1125334;0;
724.6075;658.1376;-1747.698;-239.7411;31.91383;-3.738735;751.5993;-314.1027;-0.1762197;-0.04745294;0;
21482.05;14511.7;-921.731;22837.01;10.17978;0.2838758;21391.27;10681.41;-0.6957814;0.2774315;0;
19090.41;12203.04;366.4543;21042.64;4.677191;1.154369;19000.78;9240.345;-0.2403109;0.147218;0;
18683.94;12240.02;2626.2;20339.03;-20.37839;2.291919;18580.01;9143.713;0.0847673;-0.1777666;0;
21579.53;14369.64;4418.44;23428.12;-53.71517;4.231998;21477.83;10996.07;-0.3051219;-0.1126207;0;
7934.037;5371.078;4496.584;8727.489;-18.16049;0.4098412;7754.009;3080.826;-0.1748807;-0.5023115;0;
-20561.43;-13979.3;3574.059;-21628.53;-4.210768;-1.934851;-20581.32;-10318.94;0.2150991;-0.6967089;0;
