Fp1;Fp2;O1;O2;POLY3;POLY4;A1;A2;Video;Audio;event;
20561.42;15529.63;1135.899;25724.21;19.70166;-6.202621;22046.34;12011.62;-0.05080446;-0.1951619;0;13:27:00 Глаза закрыты;
7366.212;5922.217;1212.313;8920.027;20.68624;-6.263371;7360.641;4287.52;0.209116;0.3897403;0;
-29010.86;-24676.15;435.2031;-30558.61;11.62313;-4.649487;-30411.69;-21464.14;0.1439385;0.3243813;0;
-33486.13;-28176.71;-516.6465;-37483.07;8.396266;-3.238174;-34775.24;-23488.25;0.01385918;0.06418603;0;
-16037.07;-11186.57;-4991.034;-21206.27;12.20622;-4.306647;-17205.66;-6870.772;-0.1160894;0.3889582;0;
-16102.48;-10992.12;-11629.27;-21485.89;9.648362;-4.101371;-17378.13;-7346.392;0.1438966;0.3236001;0;
2040.201;2757.269;-12707.99;-1940.643;17.47555;1.931092;1620.974;1932.548;0.143752;-0.06652915;0;
23504.19;18946.44;-8693.689;26219.37;20.06996;3.804552;24753.75;15339.26;0.3385096;-0.1314296;0;
22446.25;17457.19;-3965.279;28271.65;9.935734;3.532797;24053.57;14195.68;0.4681041;0.1935391;0;
18684.73;14121.94;-338.9125;24139.12;9.590958;5.002872;20124.87;10941.12;-0.1820396;0.1283773;0;
20310;15299.52;1377.831;25336.1;5.696555;1.64882;21769.53;11785.76;-0.2468241;-0.2615557;0;
6916.912;5622.429;1500.79;8119.686;2.140857;1.178283;6825.092;4026.514;0.2731627;-0.06639089;0;
-29429.62;-25002.88;706.5869;-31099.19;14.46357;0.5742525;-30864.61;-21753.48;0.2079208;0.3234799;0;
-33726.92;-28439.26;-123.8155;-37728.25;16.79356;-0.9669319;-35018.44;-23751.05;-0.1171248;-0.3265186;0;
-15880.08;-11017.18;-4132.785;-21131.55;7.264863;4.12462;-17069.57;-6735.894;-0.2469418;-0.4561252;0;
-15816.28;-10682.77;-10569.54;-21200.87;5.649973;5.460135;-17104.33;-6982.389;-0.05179162;0.3239413;0;
1987.434;2702.535;-11647.98;-1905.235;10.13227;1.703726;1551.22;2002.536;0.07819511;0.3885831;0;
23442.96;18877.11;-7444.505;26205.04;10.59061;2.10379;24683.06;15288.16;-0.05181815;-0.1315461;0;
22443.9;17466.62;-2922.716;28257.32;7.498507;1.298003;24052.89;14184.34;0.01320126;-0.2613486;0;
18587.54;14011.18;98.42229;24031.8;8.630049;0.6268692;20027.05;10842.19;0.20809;-0.06618398;0;
20160.47;15188.61;1577.908;25181.23;2.726879;6.788547;21615.21;11662.06;0.1429136;-0.1960521;0;
6384.25;5316.894;1751.047;7609.859;1.384968;8.925057;6281.44;3722.5;0.01283531;-0.2608225;0;
-29864.48;-25303.61;912.4269;-31523.45;8.215104;6.370861;-31311.71;-22078.96;0.2077244;0.194211;0;
-33980.62;-28727.67;241.55;-37981.65;7.336193;8.03891;-35264.31;-24003.05;0.2075157;0.1290485;0;
-16272.58;-11385.66;-3180.801;-21517.4;20.39062;4.011979;-17434.95;-6971.369;0.07737251;-0.1959179;0;
-15436.84;-10319.28;-9219.349;-20926.72;24.32224;1.73065;-16733.82;-6758.999;0.01232743;-0.4555904;0;
2693.156;3311.445;-10331.68;-1319.415;15.45557;12.64676;2238.578;2335.35;-0.182587;-0.3251979;0;
23432.02;18828.1;-6225.808;26191.77;16.31069;13.37087;24679.09;15207.75;-0.3123382;0.2598349;0;
22288.5;17322.1;-2029.253;28110.24;5.309592;12.0179;23891.59;14070.27;-0.247057;0.1296391;0;
18595.12;14017.75;518.4288;24047.21;1.888005;13.07743;20038.99;10822.74;-0.1168741;0.06454153;0;
20074.13;15098.69;1834.48;25023.98;2.957835;2.81614;21503.56;11584.02;0.01317803;0.3893134;0;
6343.088;5252.371;2039.346;7367.311;1.548344;0.8039445;6151.332;3681.788;-0.1167699;-0.0658492;0;
-30025.45;-25478.76;1162.096;-31742.41;4.159732;-4.153478;-31507.06;-22233.57;-0.2465872;-0.3906197;0;
-34486.44;-29195.59;452.4094;-38459.62;4.155552;-7.6994;-35756.85;-24451.7;-0.1164048;-0.1303579;0;
-16871.88;-11998.93;-2905.561;-22135.47;15.00237;-0.7925438;-18042.13;-7595.593;0.1435815;0.2595772;0;
-16546.26;-11362.08;-8957.504;-21944.41;18.3362;-1.126662;-17838.21;-7547.168;0.07846992;0.389251;0;
1476.952;2343.581;-9913.112;-2537.619;21.66667;3.898068;1009.643;1810.012;-0.2464456;0.3238926;0;
23298.53;18806.59;-5457.292;25944.07;25.73074;6.104588;24519.42;15270.63;-0.3111653;0.06369776;0;
22446.22;17436.12;-1457.239;28272.38;14.45175;4.222932;24056.78;14118.81;-0.2458853;-0.261203;0;
18434.92;13883;722.5524;23858.27;11.82526;5.15645;19869.05;10721.14;-0.05073625;-0.001071149;0;
20197.24;15205.24;2023.563;25278.35;10.60793;2.204019;21658.25;11664.45;-0.05068527;-0.06603742;0;
6514.688;5324.814;2260.409;7878.794;6.041947;1.398132;6428.853;3784.025;-0.1156017;-0.3908078;0;
-29652.6;-25132.35;1349.813;-31329.4;5.902154;-1.550522;-31102.29;-21857.36;0.0794165;-0.0006110327;0;
-33756.48;-28470.39;737.7797;-37779.04;1.743038;-3.089572;-35042.5;-23772.83;0.144304;0.3242263;0;
-16252.3;-11341.24;-1960.762;-21481.53;4.15316;-4.626953;-17429.43;-6931.192;0.2740937;0.1289985;0;
-15022.26;-9945.746;-7428.526;-20526.81;5.354435;-6.229894;-16330.92;-6479.607;-0.05101839;0.1288689;0;
3353.476;3809.135;-8577.45;-558.2724;-14.54427;-0.9990874;2939.939;2699.996;-0.4407712;-0.001195309;0;
23657.77;18986.55;-4573.449;26504.26;-20.4915;0.7434727;24930.38;15355.95;0.0144431;-0.4559655;0;
