comparison,pair,relation_type,n_windows_all,n_windows_clean,artifact_rate,all_abs_time_corr_r,clean_abs_time_corr_r,weighted_abs_time_corr_r,all_abs_max_lag_corr_r,clean_abs_max_lag_corr_r,weighted_abs_max_lag_corr_r,all_delta_coherence,clean_delta_coherence,weighted_delta_coherence,all_delta_imag_coherence,clean_delta_imag_coherence,weighted_delta_imag_coherence,all_delta_plv,clean_delta_plv,weighted_delta_plv,all_delta_pli,clean_delta_pli,weighted_delta_pli,all_delta_wpli,clean_delta_wpli,weighted_delta_wpli,all_theta_coherence,clean_theta_coherence,weighted_theta_coherence,all_theta_imag_coherence,clean_theta_imag_coherence,weighted_theta_imag_coherence,all_theta_plv,clean_theta_plv,weighted_theta_plv,all_theta_pli,clean_theta_pli,weighted_theta_pli,all_theta_wpli,clean_theta_wpli,weighted_theta_wpli,all_alpha_coherence,clean_alpha_coherence,weighted_alpha_coherence,all_alpha_imag_coherence,clean_alpha_imag_coherence,weighted_alpha_imag_coherence,all_alpha_plv,clean_alpha_plv,weighted_alpha_plv,all_alpha_pli,clean_alpha_pli,weighted_alpha_pli,all_alpha_wpli,clean_alpha_wpli,weighted_alpha_wpli,all_beta1_coherence,clean_beta1_coherence,weighted_beta1_coherence,all_beta1_imag_coherence,clean_beta1_imag_coherence,weighted_beta1_imag_coherence,all_beta1_plv,clean_beta1_plv,weighted_beta1_plv,all_beta1_pli,clean_beta1_pli,weighted_beta1_pli,all_beta1_wpli,clean_beta1_wpli,weighted_beta1_wpli,all_beta2_emg_sensitive_coherence,clean_beta2_emg_sensitive_coherence,weighted_beta2_emg_sensitive_coherence,all_beta2_emg_sensitive_imag_coherence,clean_beta2_emg_sensitive_imag_coherence,weighted_beta2_emg_sensitive_imag_coherence,all_beta2_emg_sensitive_plv,clean_beta2_emg_sensitive_plv,weighted_beta2_emg_sensitive_plv,all_beta2_emg_sensitive_pli,clean_beta2_emg_sensitive_pli,weighted_beta2_emg_sensitive_pli,all_beta2_emg_sensitive_wpli,clean_beta2_emg_sensitive_wpli,weighted_beta2_emg_sensitive_wpli
ears_reference_sensitive__vs__ears_reference_sensitive,A1-A2,EEG_EEG_CONNECTIVITY,1281,501,0.6088992974238876,0.067964666756705,0.05526548866177288,0.06286452513231792,0.1397922399675301,0.13601403710521467,0.13802201966036215,0.3388392710469883,0.33968532579460786,0.3369472397415243,0.3394053059590817,0.33929391520828456,0.33949410547063885,,,,,,,,,,0.3364802831205782,0.33019356508252123,0.3342957317377205,0.3392930589997367,0.32750764113251757,0.33588021225623127,,,,,,,,,,0.34067856192325924,0.338495382048045,0.3389756754422737,0.3486056855327214,0.3489102145390541,0.3497361196353107,0.18140347148807426,0.18134477016131778,0.18120437494184738,0.15396096799375486,0.15921756487025948,0.15527971474030636,0.273523057602334,0.26671236002535303,0.27399723543017573,0.3397466292019983,0.34046325862539767,0.34002651359629865,0.34315607080519933,0.3429648669540428,0.3433768838842945,,,,,,,,,,0.34048156401049184,0.3380586458430174,0.33968227165569437,0.34164448070456355,0.3374880333340897,0.34018195702423204,0.13573707719539677,0.14142866924291053,0.1381255998462814,0.11183216237314599,0.12058483033932135,0.11519882682022993,0.19867168162959545,0.1896720378222842,0.19475461002813438
ears_reference_sensitive__vs__neck_poly_bipolar,A1-POLY4,EEG_POLY_SPECTRAL_SIMILARITY,1281,501,0.6088992974238876,0.972797114885472,0.9438064970618674,0.9635649283134703,0.9728363164560696,0.9438193531356237,0.9635941360150594,0.954536934393017,0.9141686063035405,0.943529417797034,0.0677461492044179,0.10648966051310171,0.07937639782256736,,,,,,,,,,0.9500376710784008,0.9175749542784322,0.9405337345546787,0.08167394749049636,0.11172923652554335,0.09140330947841634,,,,,,,,,,0.9125612285479455,0.8496374569402776,0.8904336406521351,0.11079031801729042,0.15399752200983635,0.12695296660114933,0.9020650349769599,0.8340272885778326,0.8776270057689604,0.16715768930523028,0.16882435129740517,0.16894037985240362,0.3250141425729244,0.2928388453671599,0.31593553694008364,0.9122565193704354,0.8784484466862812,0.9009071136221061,0.11161725977072005,0.13474091326889853,0.11899271150976216,,,,,,,,,,0.905997296935347,0.916308729132553,0.9088625372956985,0.12191019733300433,0.11095982657266273,0.1184260196351626,0.882751612025881,0.896948914781735,0.8869748075798037,0.1248064012490242,0.11242914171656686,0.11997054979618228,0.23817013781654564,0.1841673599424329,0.2175804520189984
ears_reference_sensitive__vs__neck_poly_bipolar,A2-POLY4,EEG_POLY_SPECTRAL_SIMILARITY,1281,501,0.6088992974238876,0.06830005445488863,0.056082185613172957,0.0631561228674508,0.13996924632166055,0.13631838636702,0.13840973152129035,0.33963851662821765,0.3425644821337289,0.3382338163033603,0.33904366300777994,0.3407191433116173,0.3388549650090874,,,,,,,,,,0.33634023577838285,0.3319064318404008,0.33482476568300507,0.3379204291264867,0.32339983989984733,0.3332132044481372,,,,,,,,,,0.3416336970068438,0.3400407422467059,0.3401051375562321,0.3484423198918839,0.3494521472219321,0.34879972881951504,0.18475897573750194,0.18617598497038526,0.18496233067146325,0.15259797033567526,0.15259880239520957,0.1528603098550239,0.27758859251783935,0.2713007170358542,0.2793126604412637,0.34143654034801435,0.3433412970351058,0.3417420068948604,0.3445124285710637,0.34611049214047807,0.3444740960287964,,,,,,,,,,0.34020209852459016,0.33791610859877713,0.3393222654436398,0.3409653078817585,0.3349591801636694,0.33836485631480456,0.13369463582901484,0.13974230904274734,0.13628462443496478,0.10932708821233411,0.11595808383233533,0.11264363123201392,0.20151988690454667,0.1881332431192109,0.19555298142447639
ears_reference_sensitive__vs__neck_poly_bipolar,A2-POLY3,EEG_POLY_SPECTRAL_SIMILARITY,1281,501,0.6088992974238876,0.05682374010189456,0.050931604414214494,0.05500019290878402,0.15214829164664387,0.15131868321951705,0.1512161975784195,0.34878043095896116,0.3463295575129378,0.34796175361156806,0.34796568290740953,0.34572426165311443,0.3467936329404957,,,,,,,,,,0.34464117065575095,0.3456872946743589,0.34507324980573584,0.3500245421277745,0.3526317757619462,0.35130267984519986,,,,,,,,,,0.34287275814744245,0.3385819116430956,0.34000598527040016,0.343833509034494,0.3401344214735947,0.3415757893679078,0.18492608473569955,0.1847934928240057,0.1841544489568834,0.15708899297423887,0.16156087824351295,0.15737070250927632,0.2603927068530303,0.2600983696381029,0.2584831676861977,0.3413687757372692,0.3390170440428511,0.3402092306216397,0.3482315663449223,0.3455533924875989,0.3471882410042311,,,,,,,,,,0.3393532504246828,0.3384161258245626,0.33852780616920053,0.3448484052265761,0.3432779933342572,0.34423964413112756,0.13319083921887231,0.13098311661377252,0.13233151449905803,0.11296487119437941,0.11631936127744513,0.11423795531050587,0.1824132488529594,0.18415593817061088,0.18215650764730515
ears_reference_sensitive__vs__neck_poly_bipolar,A1-POLY3,EEG_POLY_SPECTRAL_SIMILARITY,1281,501,0.6088992974238876,0.10613702266284157,0.09726252433726702,0.10335771072140354,0.21946875004178376,0.21676427114679828,0.21870225469935858,0.34467640336156957,0.33900007384548064,0.3426289463172392,0.3509968805904174,0.3524830849921126,0.35128059684508556,,,,,,,,,,0.3365885246527104,0.33395630816703065,0.3360708249822851,0.3399767786908104,0.3329285267987638,0.336786623095773,,,,,,,,,,0.33724109163269683,0.3331328693365361,0.33610816363409923,0.34640733184293165,0.3442278190802848,0.3463513007317994,0.18121288394831989,0.18246200434542,0.18077429942804735,0.15243403590944574,0.15245508982035927,0.1525155291501652,0.26099110046959073,0.2560533757093134,0.2571451294208149,0.33641927067465194,0.33957281269073,0.3363695285814932,0.33902273718920417,0.3398501343677629,0.34006766211431816,,,,,,,,,,0.3408039896878719,0.3402449149240006,0.3407707602108458,0.3457074815393311,0.3478792177705187,0.346889317555374,0.13236512331346434,0.1305388524319682,0.13126818956288672,0.11197423887587823,0.11201397205588824,0.11166041930759737,0.2001217336901063,0.18701097044771037,0.1943790748220219
frontal_eeg__vs__frontal_eeg,Fp1-Fp2,EEG_EEG_CONNECTIVITY,1281,501,0.6088992974238876,0.4832257903312735,,0.48322579033127344,0.5583017380655257,,0.5583017380655257,0.5860224532833257,,0.5860224532833257,0.28637737434385974,,0.28637737434385974,,,,,,,,,,0.49557607350225935,,0.49557607350225946,0.3245853857566631,,0.3245853857566631,,,,,,,,,,0.45099370368411706,,0.45099370368411695,0.3386592804311843,,0.3386592804311843,0.5013713059049809,0.688578998138727,0.5576612555900999,0.1032256049960968,0.0036686626746506986,0.06862187978413144,0.3590453957228577,,0.3590453957228577,0.44616089869170605,,0.44616089869170605,0.33362183670298823,,0.3336218367029882,,,,,,,,,,0.43833025093280154,,0.43833025093280137,0.3310488824928851,,0.3310488824928851,0.5103798439397268,0.6871061662366621,0.5629185268839627,0.08113192818110851,0.0024810379241516967,0.05371868953458857,0.3035304528188964,,0.30353045281889635
frontal_eeg__vs__neck_poly_bipolar,Fp2-POLY4,EEG_POLY_SPECTRAL_SIMILARITY,1281,501,0.6088992974238876,0.5742143405990373,0.8639124194725775,0.6361202215712615,0.6316295312401929,0.8646663605756256,0.6815442936970058,0.6509430356044819,0.8739450717403993,0.6988415755814611,0.2508604322985807,0.13239989056157406,0.22525008625756987,,,,,,,,,,0.5646329297018721,0.7993690552001895,0.613611069409186,0.2930735040867132,0.1837350491871325,0.27060605912340435,,,,,,,,,,0.5008183065640229,0.6643602456789967,0.5366160680074585,0.3131917749243592,0.23854871486933482,0.2970705652833128,0.27969537154149615,0.2092400886343525,0.26273782291784353,0.1309929742388759,0.06405788423153692,0.10957603167274718,0.34823272850182035,0.3192995960474333,0.3457894485834815,0.5103871061241321,0.7176295765408336,0.5546909137011415,0.30500208218358094,0.21776891844080767,0.28637629115315066,,,,,,,,,,0.5003120902229427,0.7172025841016725,0.5435567311019731,0.3037524055416696,0.2163944579012631,0.28556330231973154,0.3000931458743426,0.22743203845753945,0.2807317744001247,0.10202966432474628,0.047127744510978044,0.08500152143672321,0.28988194322922056,0.22834353857398493,0.27848808233645345
frontal_eeg__vs__neck_poly_bipolar,Fp2-POLY3,EEG_POLY_SPECTRAL_SIMILARITY,1281,501,0.6088992974238876,0.11695456298208337,0.09266856268435324,0.1106793399753762,0.22338093778613505,0.20403057695494872,0.21921218523914882,0.3498701336055908,0.33835313267089584,0.34618959445686753,0.3521704389632053,0.354210861932029,0.35218073921888043,,,,,,,,,,0.33605765170003865,0.33760014735332133,0.33600368380108714,0.3404954792175563,0.3424291349799297,0.3398006088665096,,,,,,,,,,0.33963450823826724,0.3457118769589012,0.34020037615218374,0.34524721879309417,0.3406978009554663,0.34360672002145093,0.12284569314262112,0.0662044261235904,0.10497967434726073,0.09980249804839968,0.0493253493013972,0.08290936443091478,0.2567674660229836,0.228561319198984,0.24743757051839646,0.3387794008185044,0.3308397799627871,0.3367870290924365,0.34242343730422353,0.33580132109623484,0.34118079815663693,,,,,,,,,,0.3381721955583691,0.3296960035498177,0.33605443024731974,0.3426537290527083,0.3321614937008148,0.33958127991011444,0.09155133287318193,0.04180263531161312,0.07494455689136474,0.07698048399687743,0.036926147704590816,0.06363335479012044,0.19964927142396727,0.16465680743249325,0.19004970244067415
frontal_eeg__vs__neck_poly_bipolar,Fp1-POLY3,EEG_POLY_SPECTRAL_SIMILARITY,1281,501,0.6088992974238876,0.10895051069575741,,0.10895051069575741,0.2237434717896542,,0.2237434717896542,0.347100605336794,,0.347100605336794,0.3481380160111695,,0.34813801601116945,,,,,,,,,,0.33949868286380563,,0.33949868286380563,0.3461298662229661,,0.34612986622296604,,,,,,,,,,0.3369833770433014,,0.33698337704330145,0.34601908426927896,,0.34601908426927896,0.10071595331204491,0.014033600062055344,0.07058007434518974,0.08361982825917252,0.012009980039920163,0.058608738141228627,0.2560957058064838,,0.2560957058064838,0.3346369501999542,,0.3346369501999542,0.338367062248227,,0.338367062248227,,,,,,,,,,0.33930131467569924,,0.33930131467569924,0.3429694025796758,,0.34296940257967573,0.07212509104212811,0.007071379860324877,0.049475359461960015,0.06087431693989071,0.00642315369261477,0.041923748302816054,0.20069182308023398,,0.20069182308023398
frontal_eeg__vs__neck_poly_bipolar,Fp1-POLY4,EEG_POLY_SPECTRAL_SIMILARITY,1281,501,0.6088992974238876,0.9958888176172683,,0.9958888176172683,0.9959205030145568,,0.9959205030145567,0.9929800660889017,,0.9929800660889017,0.0275586404755556,,0.0275586404755556,,,,,,,,,,0.9925456750620417,,0.9925456750620419,0.03193438947786925,,0.03193438947786925,,,,,,,,,,0.9890403633229583,,0.9890403633229583,0.04106607728579708,,0.04106607728579708,0.5304664992016392,0.013602885603369079,0.35022051112725616,0.08829586260733803,0.012540918163672657,0.061893712227759724,0.299692804269996,,0.299692804269996,0.9794495063771014,,0.9794495063771014,0.053185391283520574,,0.05318539128352056,,,,,,,,,,0.9542364431316979,,0.9542364431316981,0.08563885265713432,,0.08563885265713432,0.4995332609220923,0.007444685360882975,0.3279320230746005,0.08078454332552693,0.007077844311377246,0.0550787793168978,0.3148798159004522,,0.3148798159004522
