comparison,pair,relation_type,n_windows_all,n_windows_clean,artifact_rate,all_abs_time_corr_r,clean_abs_time_corr_r,weighted_abs_time_corr_r,all_abs_max_lag_corr_r,clean_abs_max_lag_corr_r,weighted_abs_max_lag_corr_r,all_delta_coherence,clean_delta_coherence,weighted_delta_coherence,all_delta_imag_coherence,clean_delta_imag_coherence,weighted_delta_imag_coherence,all_delta_plv,clean_delta_plv,weighted_delta_plv,all_delta_pli,clean_delta_pli,weighted_delta_pli,all_delta_wpli,clean_delta_wpli,weighted_delta_wpli,all_theta_coherence,clean_theta_coherence,weighted_theta_coherence,all_theta_imag_coherence,clean_theta_imag_coherence,weighted_theta_imag_coherence,all_theta_plv,clean_theta_plv,weighted_theta_plv,all_theta_pli,clean_theta_pli,weighted_theta_pli,all_theta_wpli,clean_theta_wpli,weighted_theta_wpli,all_alpha_coherence,clean_alpha_coherence,weighted_alpha_coherence,all_alpha_imag_coherence,clean_alpha_imag_coherence,weighted_alpha_imag_coherence,all_alpha_plv,clean_alpha_plv,weighted_alpha_plv,all_alpha_pli,clean_alpha_pli,weighted_alpha_pli,all_alpha_wpli,clean_alpha_wpli,weighted_alpha_wpli,all_beta1_coherence,clean_beta1_coherence,weighted_beta1_coherence,all_beta1_imag_coherence,clean_beta1_imag_coherence,weighted_beta1_imag_coherence,all_beta1_plv,clean_beta1_plv,weighted_beta1_plv,all_beta1_pli,clean_beta1_pli,weighted_beta1_pli,all_beta1_wpli,clean_beta1_wpli,weighted_beta1_wpli,all_beta2_emg_sensitive_coherence,clean_beta2_emg_sensitive_coherence,weighted_beta2_emg_sensitive_coherence,all_beta2_emg_sensitive_imag_coherence,clean_beta2_emg_sensitive_imag_coherence,weighted_beta2_emg_sensitive_imag_coherence,all_beta2_emg_sensitive_plv,clean_beta2_emg_sensitive_plv,weighted_beta2_emg_sensitive_plv,all_beta2_emg_sensitive_pli,clean_beta2_emg_sensitive_pli,weighted_beta2_emg_sensitive_pli,all_beta2_emg_sensitive_wpli,clean_beta2_emg_sensitive_wpli,weighted_beta2_emg_sensitive_wpli
left_frontal_eeg__vs__right_frontal_eeg,Fp1-Fp2,EEG_EEG_CONNECTIVITY,239,239,0.0,0.610959372666938,0.610959372666938,0.610959372666938,0.6437645593641195,0.6437645593641195,0.6437645593641195,0.6793043534234349,0.6793043534234349,0.6793043534234349,0.23821150075743314,0.23821150075743314,0.23821150075743314,,,,,,,,,,0.6035899354519951,0.6035899354519951,0.6035899354519951,0.2613150514703016,0.2613150514703016,0.2613150514703016,,,,,,,,,,0.5074511907712731,0.5074511907712731,0.5074511907712731,0.30127979438160146,0.30127979438160146,0.30127979438160146,0.48719853355405696,0.48719853355405696,0.48719853355405696,0.19227248953974896,0.19227248953974896,0.19227248953974896,0.3094937044786254,0.3094937044786254,0.3094937044786254,0.5034878601365037,0.5034878601365037,0.5034878601365037,0.29461809115964577,0.29461809115964577,0.29461809115964577,,,,,,,,,,0.5581622673470646,0.5581622673470646,0.5581622673470646,0.2713007571249772,0.2713007571249772,0.2713007571249772,0.47155019992924746,0.47155019992924746,0.47155019992924746,0.1455772751046025,0.1455772751046025,0.1455772751046025,0.25129419381626444,0.25129419381626444,0.25129419381626444
left_motor_eeg__vs__right_motor_eeg,C3-C4,EEG_EEG_CONNECTIVITY,239,239,0.0,0.6811864250512351,0.6811864250512351,0.6811864250512351,0.6908272800116133,0.6908272800116133,0.6908272800116133,0.6210217592467179,0.6210217592467179,0.6210217592467179,0.2598029748869465,0.2598029748869465,0.2598029748869465,,,,,,,,,,0.5857221513055337,0.5857221513055337,0.5857221513055337,0.30261425314030815,0.30261425314030815,0.30261425314030815,,,,,,,,,,0.6473618598625835,0.6473618598625835,0.6473618598625835,0.2447671452271143,0.2447671452271143,0.2447671452271143,0.6089815187001595,0.6089815187001595,0.6089815187001595,0.15688742154811716,0.15688742154811716,0.15688742154811716,0.2890390527162754,0.2890390527162754,0.2890390527162754,0.7176907773881062,0.7176907773881062,0.7176907773881062,0.22521776842567098,0.22521776842567098,0.22521776842567098,,,,,,,,,,0.6668948397096621,0.6668948397096621,0.6668948397096621,0.24751724894730986,0.24751724894730986,0.24751724894730986,0.6749912451475664,0.6749912451475664,0.6749912451475664,0.1370783211297071,0.1370783211297071,0.1370783211297071,0.27663976527738593,0.27663976527738593,0.27663976527738593
left_occipital_eeg__vs__right_occipital_eeg,O1-O2,EEG_EEG_CONNECTIVITY,239,239,0.0,0.606173049058794,0.606173049058794,0.606173049058794,0.6192935029805557,0.6192935029805557,0.6192935029805557,0.5787375063711441,0.5787375063711441,0.5787375063711441,0.2649936446658112,0.2649936446658112,0.2649936446658112,,,,,,,,,,0.5149458854474428,0.5149458854474428,0.5149458854474428,0.2932975493464793,0.2932975493464793,0.2932975493464793,,,,,,,,,,0.5273819994302933,0.5273819994302933,0.5273819994302933,0.29783690668907786,0.29783690668907786,0.29783690668907786,0.4782272123602149,0.4782272123602149,0.4782272123602149,0.17220188284518828,0.17220188284518828,0.17220188284518828,0.299648920692496,0.299648920692496,0.299648920692496,0.5850495784168859,0.5850495784168859,0.5850495784168859,0.2828352924805942,0.2828352924805942,0.2828352924805942,,,,,,,,,,0.5805618313932269,0.5805618313932269,0.5805618313932269,0.27133722486882406,0.27133722486882406,0.27133722486882406,0.5476285166077894,0.5476285166077894,0.5476285166077894,0.14010198744769875,0.14010198744769875,0.14010198744769875,0.28812733330423795,0.28812733330423795,0.28812733330423795
